Sitio Web (Sanitizado),Categoría (Root),Detalle de Términos,Total Apariciones
http://timeasanwdqimjalgilfkfzezgusmtmtbysc4bb3jv6upkrr7brjeoqd.onion/,MARKETPLACE,"marketplace (3), escrow (2), btc (5), marketplace (3)",13
http://timeasanwdqimjalgilfkfzezgusmtmtbysc4bb3jv6upkrr7brjeoqd.onion/,PHONE,"phone (1), phone (1)",2
http://darkmaovdlkiury6xbwky5jhsnxu7v33wr2fmer67ybhp7bvxw7jjzqd.onion/,DRUGS,"drugs (5), drugs (5)",10
http://darkmaovdlkiury6xbwky5jhsnxu7v33wr2fmer67ybhp7bvxw7jjzqd.onion/,MARKETPLACE,escrow (44),44
http://auscvep5iczvixcxdvlhmrkjsy3xnx23tiiwnwyxarmwg4nwreqh6aqd.onion/,DRUGS,"drugs (1), molly (6), drugs (1)",8
http://darkbaywuxdoqxwyjljfntk3v7s2su4xauep4dsgq3qpk5glce56nxqd.onion/,DRUGS,"drugs (14), pcp (4), X (6), drugs (14)",38
http://darkbaywuxdoqxwyjljfntk3v7s2su4xauep4dsgq3qpk5glce56nxqd.onion/,RANSOMWARE,malware (2),2
http://darkbaywuxdoqxwyjljfntk3v7s2su4xauep4dsgq3qpk5glce56nxqd.onion/,CARDING,"carding (1), dumps (3), carding (1)",5
http://darkbaywuxdoqxwyjljfntk3v7s2su4xauep4dsgq3qpk5glce56nxqd.onion/,HACKING,"hacking (6), malware (2), hacking (6)",14
http://darkbaywuxdoqxwyjljfntk3v7s2su4xauep4dsgq3qpk5glce56nxqd.onion/,FRAUD,"fraud (7), fraud (7)",14
http://darkbaywuxdoqxwyjljfntk3v7s2su4xauep4dsgq3qpk5glce56nxqd.onion/,WEAPON,guns (4),4
http://darkbaywuxdoqxwyjljfntk3v7s2su4xauep4dsgq3qpk5glce56nxqd.onion/,MARKETPLACE,escrow (24),24
